user,1,21,32,34,39,47,50,110,111,150,223,260,296,318,356,357,367,377,380,457,480,527,541,588,589,590,592,593,608,648,733,750,780,858,908,912,919,920,924,1036,1073,1079,1089,1090,1094,1097,1127,1136,1193,1196,1197,1198,1200,1206,1208,1210,1213,1214,1219,1220,1221,1222,1225,1230,1240,1247,1252,1259,1265,1270,1278,1291,1304,1307,1356,1358,1370,1374,1387,1393,1394,1500,1517,1527,1544,1573,1580,1584,1610,1617,1641,1676,1704,1721,1784,1923,1954,1961,1968,2000,2011,2012,2028,2100,2174,2291,2321,2324,2355,2395,2396,2406,2529,2571,2599,2628,2640,2657,2683,2699,2700,2706,2710,2716,2762,2791,2797,2804,2858,2916,2918,2959,2985,2987,2997,3114,3147,3175,3176,3408,3418,3421,3471,3481,3527,3578,3623,3751,3753,3793
10,5.0,,5.0,,,,,4.0,,5.0,2.0,5.0,,4.0,5.0,5.0,4.0,,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,4.0,,4.0,5.0,3.0,,3.0,5.0,5.0,3.0,,5.0,5.0,,,,5.0,4.0,4.0,,5.0,5.0,5.0,5.0,,,4.0,,4.0,,4.0,3.0,,4.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,,,4.0,3.0,,3.0,,3.0,,4.0,5.0,5.0,5.0,,3.0,,4.0,5.0,3.0,5.0,5.0,3.0,5.0,,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,5.0,4.0,,5.0,,4.0,5.0,5.0,3.0,5.0,4.0,,,,,,4.0,5.0,4.0,5.0,5.0,3.0,,5.0,3.0,,,4.0,4.0,,5.0,,4.0,,,5.0,4.0,,,,5.0,,
15,,,3.0,,,4.0,4.0,5.0,,,,4.0,3.0,4.0,4.0,1.0,4.0,,3.0,4.0,4.0,4.0,,,,,,4.0,,4.0,3.0,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,4.0,,,,4.0,4.0,,,,,,,,,,,,3.0,,,2.0,,,,,4.0,,,,,3.0,,4.0,,,2.0,,4.0,3.0,,,4.0,,3.0,4.0,,,4.0,4.0,,,4.0,,,,2.0,,,,4.0,,,4.0,,,3.0,,4.0,,,4.0,,,4.0,,,,4.0,4.0,,3.0,,,2.0,,4.0,,4.0,4.0,3.0,4.0,,,,5.0,3.0,,5.0,
17,,,5.0,5.0,,,5.0,4.0,,,4.0,5.0,5.0,5.0,5.0,,,,,5.0,4.0,4.0,5.0,,5.0,4.0,,5.0,,,,5.0,4.0,,,,,,5.0,,,,,,,3.0,4.0,,5.0,5.0,,,4.0,5.0,,4.0,4.0,5.0,,,,,,,5.0,,,,5.0,5.0,,,,,4.0,4.0,3.0,4.0,,,,,,5.0,,2.0,4.0,4.0,4.0,5.0,,,4.0,,,4.0,,,,,5.0,,5.0,,,,5.0,,4.0,,4.0,,4.0,4.0,3.0,,4.0,5.0,,,,,,,5.0,,,,5.0,5.0,,,5.0,,,5.0,4.0,5.0,,,4.0,,4.0,,4.0,5.0,,4.0,,4.0
18,4.0,,,5.0,,1.0,5.0,5.0,,,,5.0,5.0,,,,4.0,2.0,3.0,,,5.0,,5.0,5.0,4.0,4.0,,,4.0,,,3.0,,,,5.0,5.0,,3.0,4.0,,5.0,,4.0,5.0,,,4.0,5.0,5.0,5.0,4.0,,,5.0,,,,,,,,,5.0,,,5.0,,,,5.0,,,,,,,4.0,,,4.0,,4.0,3.0,,5.0,,,5.0,,3.0,,4.0,4.0,,3.0,,5.0,4.0,,,5.0,4.0,,5.0,,,5.0,,,,,,,4.0,,,,,,,,,,,4.0,,5.0,3.0,,4.0,,5.0,,,,5.0,,,1.0,,,,2.0,4.0,1.0,5.0,3.0,5.0
19,5.0,,4.0,3.0,,4.0,,4.0,4.0,,5.0,3.0,,4.0,4.0,,,4.0,4.0,3.0,4.0,3.0,,4.0,4.0,,4.0,5.0,,3.0,5.0,,,4.0,,,4.0,,,5.0,5.0,,,3.0,,3.0,3.0,,5.0,5.0,4.0,4.0,3.0,4.0,,4.0,,2.0,5.0,5.0,,,,,3.0,,,4.0,4.0,5.0,5.0,4.0,,4.0,5.0,,4.0,5.0,5.0,,,,,3.0,,4.0,5.0,3.0,2.0,,,,,,,,,5.0,,4.0,,,4.0,,,,4.0,5.0,5.0,,,,3.0,4.0,4.0,3.0,3.0,,4.0,1.0,4.0,,3.0,4.0,5.0,,,,5.0,,4.0,5.0,,4.0,,4.0,,3.0,2.0,,,3.0,2.0,,4.0,,2.0,,,4.0
22,,,4.0,,2.0,4.0,,4.0,4.0,,4.0,,3.0,5.0,,,,1.0,4.0,3.0,2.0,,,,4.0,,2.0,,5.0,2.0,4.0,,3.0,4.0,4.0,,3.0,,,4.0,3.0,,4.0,,,3.0,4.0,4.0,,4.0,3.0,4.0,4.0,,,3.0,,4.0,,,,4.0,5.0,,4.0,4.0,,4.0,4.0,4.0,2.0,4.0,,,,4.0,3.0,,,,5.0,,4.0,2.0,1.0,4.0,2.0,4.0,,,,4.0,,,,3.0,,,,,4.0,3.0,,2.0,4.0,4.0,3.0,5.0,,4.0,2.0,3.0,,3.0,,2.0,,,,1.0,,,,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,,2.0,4.0,4.0,,,,2.0,,,,,,4.0,5.0,,,3.0,
23,4.0,4.0,4.0,3.0,4.0,2.0,4.0,,3.0,,,5.0,5.0,,,1.0,3.0,5.0,,3.0,5.0,,5.0,,4.0,,3.0,4.0,4.0,4.0,,4.0,4.0,5.0,3.0,,,,2.0,5.0,5.0,,4.0,3.0,,4.0,5.0,,,5.0,,,3.0,3.0,,,3.0,3.0,3.0,,4.0,5.0,,,5.0,,3.0,,5.0,,,,,,4.0,,,,,,,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,,3.0,,,3.0,,,,,4.0,4.0,4.0,,4.0,4.0,,,,3.0,4.0,3.0,,3.0,3.0,4.0,4.0,5.0,4.0,,2.0,,,,,4.0,,4.0,,4.0,5.0,,,5.0,,5.0,,2.0,3.0,,,,,5.0,,4.0,4.0,,3.0,,4.0
24,,,,,,,5.0,4.0,,,,5.0,5.0,4.0,,,,,3.0,,,5.0,,,,4.0,4.0,5.0,5.0,3.0,,,,5.0,,5.0,5.0,5.0,,,5.0,4.0,,4.0,4.0,,,,5.0,,4.0,5.0,,,,,5.0,,,4.0,5.0,,4.0,5.0,,4.0,,4.0,4.0,4.0,,4.0,,5.0,,5.0,,,,,4.0,,,,,,4.0,2.0,,,,,4.0,3.0,3.0,,,,5.0,,,,5.0,4.0,3.0,,,,,,4.0,4.0,,,,3.0,4.0,4.0,4.0,,,,,4.0,,4.0,4.0,,4.0,,4.0,,,4.0,,,,4.0,,,,,4.0,,,,,,,
26,3.0,,,,3.0,,,,,,,3.0,,4.0,5.0,,,4.0,3.0,,4.0,,,3.0,3.0,,3.0,3.0,,3.0,,,3.0,,,,,,,,3.0,2.0,,3.0,,2.0,,,,2.0,,3.0,,,,,,,,2.0,,,,,4.0,3.0,,5.0,4.0,3.0,,3.0,,4.0,,,3.0,,3.0,5.0,5.0,,1.0,,3.0,,,3.0,,,,,5.0,3.0,5.0,3.0,3.0,4.0,4.0,,4.0,2.0,,3.0,1.0,1.0,5.0,,3.0,,,3.0,,,,2.0,,,1.0,,1.0,3.0,,2.0,,1.0,3.0,,4.0,4.0,3.0,,,,,3.0,,,,2.0,2.0,3.0,,,,,,,,
