user,1,11,21,32,34,39,47,50,110,111,150,223,260,296,316,318,349,356,357,364,367,377,380,457,480,527,541,587,588,589,590,592,593,595,597,608,648,733,736,750,780,858,904,908,912,913,919,920,923,924,969,1028,1036,1073,1079,1089,1090,1094,1097,1101,1127,1136,1193,1196,1197,1198,1200,1206,1208,1210,1213,1214,1219,1220,1221,1222,1225,1230,1233,1234,1240,1242,1247,1252,1258,1259,1265,1270,1278,1288,1291,1294,1304,1307,1356,1358,1370,1372,1374,1376,1377,1387,1391,1393,1394,1396,1500,1517,1527,1544,1573,1580,1584,1608,1610,1617,1641,1653,1673,1674,1676,1682,1704,1721,1732,1784,1917,1923,1954,1961,1968,2000,2001,2011,2012,2028,2054,2081,2100,2115,2174,2194,2268,2291,2302,2321,2324,2355,2395,2396,2406,2407,2455,2529,2571,2599,2617,2628,2640,2657,2683,2692,2699,2700,2706,2710,2716,2762,2763,2791,2797,2804,2858,2890,2916,2918,2959,2968,2985,2987,2997,3081,3114,3147,3160,3175,3176,3253,3255,3256,3361,3408,3418,3421,3448,3471,3481,3527,3578,3623,3671,3702,3703,3751,3753,3755,3793
1,5.0,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,5.0,,,4.0,,,,,5.0,,4.0,,,,,,,,,,,4.0,,,,,5.0,,,,,,,4.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,5.0,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,4.0,,,,,,4.0,,4.0,4.0,5.0,,,,4.0,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,
2,,,1.0,,,,,,5.0,,,,,,,5.0,4.0,5.0,,,,,5.0,4.0,5.0,,,,,4.0,5.0,,5.0,,,,4.0,,4.0,,3.0,,,,,,,5.0,,,,,,,,,2.0,,,,,,5.0,5.0,,4.0,,,,4.0,2.0,,,,,,5.0,,,,,,5.0,,,5.0,3.0,,,,,,,,,,5.0,3.0,,,,,,,,,,,4.0,4.0,,,,,5.0,,,,,,,,,,,5.0,3.0,,5.0,,2.0,,,,,4.0,,,,,,4.0,5.0,,,3.0,,,,4.0,,,,,4.0,,,3.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,5.0,,,,,4.0,2.0,,,4.0,,,5.0,,,5.0,,,,,,,,
3,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,4.0,,3.0,,,,3.0,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,4.0,5.0,5.0,,,,4.0,,,,,,,,,,,,,,,,5.0,2.0,3.0,,,4.0,,5.0,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,4.0,4.0,,,,,,,4.0,,4.0,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,3.0,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,
4,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,2.0,,5.0,,,,3.0,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,4.0,,,,,
5,,,,4.0,4.0,3.0,3.0,5.0,,,2.0,,,4.0,,3.0,,1.0,2.0,,,4.0,,,,,,,,,,,4.0,,,4.0,,1.0,,,,,,4.0,,5.0,4.0,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,,,4.0,,,4.0,3.0,,2.0,,,,,3.0,1.0,5.0,,,3.0,,,,,,,,2.0,,,,,,,2.0,5.0,,,,5.0,5.0,,,,,,5.0,5.0,,,,,3.0,4.0,,4.0,,,3.0,3.0,,,,,4.0,4.0,1.0,,4.0,,,4.0,5.0,3.0,,,,,2.0,,,,,3.0,3.0,,,,,,2.0,,,,,,,,2.0
6,4.0,,,,4.0,,,,,,,,,2.0,,,,,,4.0,,3.0,,,,,,,4.0,,3.0,,,4.0,5.0,,,,,,,,,,4.0,,,4.0,,,,4.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,3.0,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,5.0,,
7,,,,,,,,,5.0,,,,,,,,5.0,,,,,3.0,5.0,5.0,4.0,,,,,5.0,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,3.0,,,,,,3.0,,,,,,4.0,,3.0
8,4.0,,,,,3.0,,,5.0,5.0,4.0,,,5.0,,,4.0,,,,,4.0,,,5.0,4.0,,,,5.0,,,,,,5.0,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,4.0,,,,,,5.0,5.0,,,4.0,5.0,5.0,,,,,,,,,,,,5.0,,,,,,,3.0,5.0,,,3.0,,,5.0,,,,,5.0,,,,,,,5.0,5.0,,,,,,,,,,5.0,,5.0,,,,,,,,,5.0,,,,,,5.0,,,3.0,,,,4.0,,,,,,,,,,
9,5.0,,,,,,5.0,4.0,,,3.0,4.0,,,,5.0,4.0,,,,3.0,3.0,,5.0,4.0,5.0,,,,,5.0,,5.0,,3.0,4.0,,,,,,,,,4.0,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,4.0,4.0,,,,4.0,,,,3.0,,,,,,,,4.0,,,,,,,4.0,3.0,4.0,,,,,,,,3.0,,,4.0,,,,,,5.0,,,4.0,,4.0,,,,4.0,4.0,5.0,,3.0,,5.0,,5.0,,,,,,5.0,,,,,,,4.0,,4.0,,5.0,4.0,,,,,,,5.0,2.0,,,,,,4.0,,,,,,4.0,,,,,4.0,5.0,,,4.0,,,,,,4.0,4.0,3.0,,,4.0,4.0,,,4.0,,,,,,,,4.0,,,,4.0,,2.0,4.0
